strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	division_exposure	location	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	Publication doi if not on GenBank	date_submitted	note
USA/AZ1/2020	ncov	EPI_ISL_406223	MN997409	2020-01-22	North America	USA	Arizona	Hubei	Phoenix	genome	29882	Human	26	Male	Arizona Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-01-28	
USA/CA3/2020	ncov	EPI_ISL_408008	MT027062	2020-01-29	North America	USA	California	California		genome	29882	Human	57	Male	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?	2020-02-07	
USA/CA4/2020	ncov	EPI_ISL_408009	MT027063	2020-01-29	North America	USA	California	California		genome	29882	Human	57	Female	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?	2020-02-07	
USA/CA5/2020	ncov	EPI_ISL_408010	MT027064	2020-01-29	North America	USA	California	Hubei		genome	29882	Human	54	Female	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-02-07	
USA/WI1/2020	ncov	EPI_ISL_408670	MT039887	2020-01-31	North America	USA	Wisconsin	Hubei		genome	29879	Human	52	Female	Wisconsin Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Zhang et al	https://www.gisaid.org	?	2020-02-10	
USA/MA1/2020	ncov	EPI_ISL_409067	MT039888	2020-01-29	North America	USA	Massachusetts	Hubei	Boston	genome	29882	Human	21	Male	Massachusetts Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Paden et al	https://www.gisaid.org	?	2020-02-11	
USA/IL2/2020	ncov	EPI_ISL_410045	MT044257	2020-01-28	North America	USA	Illinois	Hubei		genome	29882	Human	68	Male	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Li et al	https://www.gisaid.org	?	2020-02-11	
USA/CA6/2020	ncov	EPI_ISL_410044	MT044258	2020-01-27	North America	USA	California	Hubei		genome	29858	Human	44	Male	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Zhang et al	https://www.gisaid.org	?	2020-02-11	
USA/CA7/2020	ncov	EPI_ISL_411954	MT106052	2020-02-06	North America	USA	California	Hubei		genome	29882	Human	56	Female	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?	2020-02-22	
USA/CA8/2020	ncov	EPI_ISL_411955	MT106053	2020-02-10	North America	USA	California	California		genome	29882	Human	51	Female	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?	2020-02-22	
USA/TX1/2020	ncov	EPI_ISL_411956	MT106054	2020-02-11	North America	USA	Texas	Hubei		genome	29882	Human	50	Female	Texas Department of State Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?	2020-02-22	
USA/CA9/2020	ncov	EPI_ISL_412862	MT118835	2020-02-23	North America	USA	California	California	Solano County	genome	29882	Human	46	Female	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al	https://www.gisaid.org	?	2020-02-27	
USA/WA2/2020	ncov	EPI_ISL_412970	MT152824	2020-02-24	North America	USA	Washington	Washington	Snohomish County	genome	29903	Human	?	Unknown	Washington State Department of Health	Seattle Flu Study	Chu et al	https://www.gisaid.org	?	2020-03-01	
USA/WA3-UW1/2020	ncov	EPI_ISL_413025	MT163716	2020-02-27	North America	USA	Washington	South Korea		genome	29903	Human	58	Female	Harborview Medical Center	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-03	
USA/WA4-UW2/2020	ncov	EPI_ISL_413455	MT163717	2020-02-28	North America	USA	Washington	Washington		genome	29897	Human	?	Female	Washington State Public Health Lab	University of Washington Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-04	
USA/WA6-UW3/2020	ncov	EPI_ISL_413457	MT163718	2020-02-29	North America	USA	Washington	Washington		genome	29903	Human	?	?	Washington State Public Health Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-05	
USA/WA7-UW4/2020	ncov	EPI_ISL_413458	MT163719	2020-03-01	North America	USA	Washington	Washington		genome	29903	Human	?	?	Washington State Public Health Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-05	
USA/WA8-UW5/2020	ncov	EPI_ISL_413486	MT163720	2020-03-01	North America	USA	Washington	Washington		genome	29732	Human	?	?	Valley Medical Center	University of Washington Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-05	
USA/WA9-UW6/2020	ncov	EPI_ISL_413487	MT163721	2020-03-01	North America	USA	Washington	Washington		genome	29325	Human	?	?	Harborview Medical Center	University of Washington Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-05	
USA/MN3-MDH3/2020	ncov	EPI_ISL_414590	MT188339	2020-03-09	North America	USA	Minnesota	Grand Princess		genome	29783	Human	?	?	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?	2020-03-13	
USA/MN2-MDH2/2020	ncov	EPI_ISL_414589	MT188340	2020-03-07	North America	USA	Minnesota	Minnesota		genome	29845	Human	?	?	Minnesota Department of Health, Public Health Laboratory	Minnesota Department of Health, Public Health Laboratory	Plumb et al	https://www.gisaid.org	?	2020-03-13	
USA/CA-PC101P/2020	ncov	EPI_ISL_414648	MT192765	2020-03-11	North America	USA	California	California	San Diego County	genome	29903	Human	?	?	Andersen Lab, The Scripps Research Institute	Andersen Lab, The Scripps Research Institute	Zeller et al	https://www.gisaid.org	?	2020-03-16	
USA/WA-UW192/2020	ncov	EPI_ISL_417341	MT246449	2020-03-13	North America	USA	Washington	Washington		genome	29828	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW193/2020	ncov	EPI_ISL_417342	MT246450	2020-03-13	North America	USA	Washington	Washington		genome	29872	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW194/2020	ncov	EPI_ISL_417343	MT246451	2020-03-13	North America	USA	Washington	Washington		genome	29868	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW195/2020	ncov	EPI_ISL_417344	MT246452	2020-03-13	North America	USA	Washington	Washington		genome	29888	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW196/2020	ncov	EPI_ISL_417345	MT246453	2020-03-13	North America	USA	Washington	Washington		genome	29823	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW197/2020	ncov	EPI_ISL_417346	MT246454	2020-03-12	North America	USA	Washington	Washington		genome	29892	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW198/2020	ncov	EPI_ISL_417347	MT246455	2020-03-12	North America	USA	Washington	Washington		genome	29857	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW199/2020	ncov	EPI_ISL_417348	MT246456	2020-03-13	North America	USA	Washington	Washington		genome	29846	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW200/2020	ncov	EPI_ISL_417349	MT246457	2020-03-12	North America	USA	Washington	Washington		genome	29843	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW201/2020	ncov	EPI_ISL_417350	MT246458	2020-03-12	North America	USA	Washington	Washington		genome	29765	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW202/2020	ncov	EPI_ISL_417351	MT246459	2020-03-12	North America	USA	Washington	Washington		genome	29909	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW203/2020	ncov	EPI_ISL_417352	MT246460	2020-03-12	North America	USA	Washington	Washington		genome	29917	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW204/2020	ncov	EPI_ISL_417353	MT246461	2020-03-13	North America	USA	Washington	Washington		genome	29877	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW205/2020	ncov	EPI_ISL_417354	MT246462	2020-03-13	North America	USA	Washington	Washington		genome	29903	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW206/2020	ncov	EPI_ISL_417355	MT246463	2020-03-13	North America	USA	Washington	Washington		genome	29782	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW207/2020	ncov	EPI_ISL_417356	MT246464	2020-03-13	North America	USA	Washington	Washington		genome	29818	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW208/2020	ncov	EPI_ISL_417357	MT246465	2020-03-13	North America	USA	Washington	Washington		genome	29781	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW209/2020	ncov	EPI_ISL_417358	MT246466	2020-03-13	North America	USA	Washington	Washington		genome	29897	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW210/2020	ncov	EPI_ISL_417359	MT246467	2020-03-14	North America	USA	Washington	Washington		genome	29899	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW211/2020	ncov	EPI_ISL_417360	MT246468	2020-03-14	North America	USA	Washington	Washington		genome	29843	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW212/2020	ncov	EPI_ISL_417361	MT246469	2020-03-14	North America	USA	Washington	Washington		genome	29869	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW213/2020	ncov	EPI_ISL_417362	MT246470	2020-03-13	North America	USA	Washington	Washington		genome	29860	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW214/2020	ncov	EPI_ISL_417363	MT246471	2020-03-14	North America	USA	Washington	Washington		genome	29871	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW215/2020	ncov	EPI_ISL_417364	MT246472	2020-03-12	North America	USA	Washington	Washington		genome	29810	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW216/2020	ncov	EPI_ISL_417365	MT246473	2020-03-14	North America	USA	Washington	Washington		genome	29825	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW217/2020	ncov	EPI_ISL_417366	MT246474	2020-03-14	North America	USA	Washington	Washington		genome	29884	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW218/2020	ncov	EPI_ISL_417367	MT246475	2020-03-13	North America	USA	Washington	Washington		genome	29877	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW219/2020	ncov	EPI_ISL_417368	MT246476	2020-03-13	North America	USA	Washington	Washington		genome	29863	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW220/2020	ncov	EPI_ISL_417369	MT246477	2020-03-14	North America	USA	Washington	Washington		genome	29886	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW221/2020	ncov	EPI_ISL_417370	MT246478	2020-03-14	North America	USA	Washington	Washington		genome	29889	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW222/2020	ncov	EPI_ISL_417371	MT246479	2020-03-13	North America	USA	Washington	Washington		genome	29828	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW223/2020	ncov	EPI_ISL_417372	MT246480	2020-03-13	North America	USA	Washington	Washington		genome	29904	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW224/2020	ncov	EPI_ISL_417373	MT246481	2020-03-13	North America	USA	Washington	Washington		genome	29873	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW225/2020	ncov	EPI_ISL_417374	MT246482	2020-03-15	North America	USA	Washington	Washington		genome	29844	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW226/2020	ncov	EPI_ISL_417375	MT246483	2020-03-15	North America	USA	Washington	Washington		genome	29765	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW227/2020	ncov	EPI_ISL_417376	MT246484	2020-03-15	North America	USA	Washington	Washington		genome	29870	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW228/2020	ncov	EPI_ISL_417377	MT246485	2020-03-15	North America	USA	Washington	Washington		genome	29775	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW229/2020	ncov	EPI_ISL_417378	MT246486	2020-03-14	North America	USA	Washington	Washington		genome	29867	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW231/2020	ncov	EPI_ISL_417380	MT246488	2020-03-14	North America	USA	Washington	Washington		genome	29842	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW232/2020	ncov	EPI_ISL_417381	MT246489	2020-03-14	North America	USA	Washington	Washington		genome	29864	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW233/2020	ncov	EPI_ISL_417382	MT246490	2020-03-15	North America	USA	Washington	Washington		genome	29850	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-25	
USA/WA-UW236/2020	ncov	EPI_ISL_417450	MT251972	2020-03-14	North America	USA	Washington	Washington		genome	29861	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-26	
USA/WA-UW237/2020	ncov	EPI_ISL_417451	MT251973	2020-03-14	North America	USA	Washington	Washington		genome	29871	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-26	
USA/WA-UW238/2020	ncov	EPI_ISL_417452	MT251974	2020-03-14	North America	USA	Washington	Washington		genome	29852	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-26	
USA/WA-UW239/2020	ncov	EPI_ISL_417453	MT251975	2020-03-14	North America	USA	Washington	Washington		genome	29875	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-26	
USA/WA-UW240/2020	ncov	EPI_ISL_417454	MT251976	2020-03-14	North America	USA	Washington	Washington		genome	29900	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-26	
USA/WA-UW234/2020	ncov	EPI_ISL_417448	MT251977	2020-03-14	North America	USA	Washington	Washington		genome	29829	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-26	
USA/WA-UW235/2020	ncov	EPI_ISL_417449	MT251978	2020-03-14	North America	USA	Washington	Washington		genome	29906	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-26	
USA/WA-UW241/2020	ncov	EPI_ISL_417455	MT251979	2020-03-14	North America	USA	Washington	Washington		genome	29839	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-26	
USA/WA-UW242/2020	ncov	EPI_ISL_417456	MT251980	2020-03-14	North America	USA	Washington	Washington		genome	29845	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-26	
USA/CZB-RR057-005/2020	ncov	EPI_ISL_417931	MT258377	2020-03-18	North America	USA	California	California	San Francisco	genome	29892	Human	73	Male	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al	https://www.gisaid.org	?	2020-03-27	
USA/CZB-RR057-006/2020	ncov	EPI_ISL_417932	MT258378	2020-03-18	North America	USA	California	California	San Francisco	genome	29899	Human	65	Male	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al	https://www.gisaid.org	?	2020-03-27	
USA/CZB-RR057-007/2020	ncov	EPI_ISL_417933	MT258379	2020-03-18	North America	USA	California	California	San Francisco	genome	29895	Human	31	Male	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al	https://www.gisaid.org	?	2020-03-27	
USA/CZB-RR057-011/2020	ncov	EPI_ISL_417935	MT258380	2020-03-18	North America	USA	California	California	San Francisco	genome	29899	Human	32	Female	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al	https://www.gisaid.org	?	2020-03-27	
USA/CZB-RR057-013/2020	ncov	EPI_ISL_417937	MT258381	2020-03-18	North America	USA	California	California	San Francisco	genome	29902	Human	35	Female	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al	https://www.gisaid.org	?	2020-03-27	
USA/CZB-RR057-014/2020	ncov	EPI_ISL_417938	MT258382	2020-03-18	North America	USA	California	California	San Francisco	genome	29887	Human	31	Male	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al	https://www.gisaid.org	?	2020-03-27	
USA/CZB-RR057-015/2020	ncov	EPI_ISL_417939	MT258383	2020-03-18	North America	USA	California	California	San Francisco	genome	29890	Human	36	Female	Chan-Zuckerberg Biohub	Chan-Zuckerberg Biohub	Arevalo et al	https://www.gisaid.org	?	2020-03-27	
USA/WA-UW243/2020	ncov	EPI_ISL_418028	MT259235	2020-03-13	North America	USA	Washington	Washington		genome	29751	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW244/2020	ncov	EPI_ISL_418029	MT259236	2020-03-16	North America	USA	Washington	Washington		genome	29883	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW245/2020	ncov	EPI_ISL_418030	MT259237	2020-03-16	North America	USA	Washington	Washington		genome	29864	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW246/2020	ncov	EPI_ISL_418031	MT259238	2020-03-16	North America	USA	Washington	Washington		genome	29161	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW248/2020	ncov	EPI_ISL_418033	MT259240	2020-03-16	North America	USA	Washington	Washington		genome	29637	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW249/2020	ncov	EPI_ISL_418034	MT259241	2020-03-16	North America	USA	Washington	Washington		genome	29724	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW250/2020	ncov	EPI_ISL_418035	MT259242	2020-03-14	North America	USA	Washington	Washington		genome	29459	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW251/2020	ncov	EPI_ISL_418036	MT259243	2020-03-13	North America	USA	Washington	Washington		genome	29757	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW252/2020	ncov	EPI_ISL_418037	MT259244	2020-03-16	North America	USA	Washington	Washington		genome	29865	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW253/2020	ncov	EPI_ISL_418038	MT259245	2020-03-15	North America	USA	Washington	Washington		genome	29826	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW254/2020	ncov	EPI_ISL_418039	MT259246	2020-03-13	North America	USA	Washington	Washington		genome	29843	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW255/2020	ncov	EPI_ISL_418040	MT259247	2020-03-16	North America	USA	Washington	Washington		genome	29646	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW256/2020	ncov	EPI_ISL_418041	MT259248	2020-03-14	North America	USA	Washington	Washington		genome	29879	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW257/2020	ncov	EPI_ISL_418042	MT259249	2020-03-13	North America	USA	Washington	Washington		genome	29821	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW258/2020	ncov	EPI_ISL_418043	MT259250	2020-03-14	North America	USA	Washington	Washington		genome	29702	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW259/2020	ncov	EPI_ISL_418044	MT259251	2020-03-14	North America	USA	Washington	Washington		genome	29884	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW260/2020	ncov	EPI_ISL_418045	MT259252	2020-03-14	North America	USA	Washington	Washington		genome	29790	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW261/2020	ncov	EPI_ISL_418046	MT259253	2020-03-16	North America	USA	Washington	Washington		genome	29813	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW262/2020	ncov	EPI_ISL_418047	MT259254	2020-03-16	North America	USA	Washington	Washington		genome	29887	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW263/2020	ncov	EPI_ISL_418048	MT259255	2020-03-16	North America	USA	Washington	Washington		genome	29514	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW264/2020	ncov	EPI_ISL_418049	MT259256	2020-03-13	North America	USA	Washington	Washington		genome	29833	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW265/2020	ncov	EPI_ISL_418050	MT259257	2020-03-16	North America	USA	Washington	Washington		genome	29868	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW266/2020	ncov	EPI_ISL_418051	MT259258	2020-03-13	North America	USA	Washington	Washington		genome	29657	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW267/2020	ncov	EPI_ISL_418052	MT259259	2020-03-16	North America	USA	Washington	Washington		genome	29498	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW268/2020	ncov	EPI_ISL_418053	MT259260	2020-03-16	North America	USA	Washington	Washington		genome	29871	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW269/2020	ncov	EPI_ISL_418054	MT259261	2020-03-16	North America	USA	Washington	Washington		genome	29837	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW270/2020	ncov	EPI_ISL_418055	MT259262	2020-03-14	North America	USA	Washington	Washington		genome	29599	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW271/2020	ncov	EPI_ISL_418056	MT259263	2020-03-13	North America	USA	Washington	Washington		genome	29878	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW272/2020	ncov	EPI_ISL_418057	MT259264	2020-03-13	North America	USA	Washington	Washington		genome	29836	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW273/2020	ncov	EPI_ISL_418058	MT259265	2020-03-13	North America	USA	Washington	Washington		genome	29557	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW274/2020	ncov	EPI_ISL_418059	MT259266	2020-03-13	North America	USA	Washington	Washington		genome	29846	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW275/2020	ncov	EPI_ISL_418060	MT259267	2020-03-14	North America	USA	Washington	Washington		genome	29852	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW276/2020	ncov	EPI_ISL_418061	MT259268	2020-03-13	North America	USA	Washington	Washington		genome	29759	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW277/2020	ncov	EPI_ISL_418062	MT259269	2020-03-14	North America	USA	Washington	Washington		genome	29894	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW278/2020	ncov	EPI_ISL_418063	MT259270	2020-03-16	North America	USA	Washington	Washington		genome	29436	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
